,101,Rok,Cislo,Strana,URL
136,1596689,1941,562.0,2.0,https://www.ndk.cz/view/uuid:ac0342a0-6a47-11dd-adc1-000d606f5dc6?page=uuid:bc1eaf7e-e093-49b9-88da-48a5581de275
137,1596781,1936,560.0,9.0,https://www.ndk.cz/view/uuid:2332c930-333f-11dd-be5e-000d606f5dc6?page=uuid:fc038169-8495-43ce-bf16-61914dd55db7
138,1630258,1936,560.0,9.0,https://www.ndk.cz/view/uuid:2332c930-333f-11dd-be5e-000d606f5dc6?page=uuid:fc038169-8495-43ce-bf16-61914dd55db7
139,1596782,1936,553.0,5.0,https://www.ndk.cz/view/uuid:0de53650-333d-11dd-b8ee-000d606f5dc6?page=uuid:f25eac80-f3f3-4a10-b96e-35ae7eb40cbc
140,1596811,1936,368.0,2.0,https://www.ndk.cz/view/uuid:0f83f790-30df-11dd-9aa2-000d606f5dc6?page=uuid:ac80afbe-8ad7-4aea-925b-327acb2c91ed
141,1596994,1919,280.0,1.0,https://www.ndk.cz/view/uuid:25e6d750-61e6-11dc-91e4-000d606f5dc6?page=uuid:f2974c15-f048-46c9-ae86-643ba5e32b0b
142,1597061,1941,150.0,9.0,https://www.ndk.cz/view/uuid:ad5efe50-6eb6-11dd-9d92-000d606f5dc6?page=uuid:ac2c2903-3fee-4c27-89e4-c8dcba82bae7
143,1647538,1941,150.0,9.0,https://www.ndk.cz/view/uuid:ad5efe50-6eb6-11dd-9d92-000d606f5dc6?page=uuid:ac2c2903-3fee-4c27-89e4-c8dcba82bae7
144,1597480,1934,71.0,7.0,https://www.ndk.cz/view/uuid:07ea4de0-10af-11dd-9d72-000d606f5dc6?page=uuid:fa738596-3edb-4e05-9b4f-d095a15765b6
145,1606153,1934,71.0,7.0,https://www.ndk.cz/view/uuid:07ea4de0-10af-11dd-9d72-000d606f5dc6?page=uuid:fa738596-3edb-4e05-9b4f-d095a15765b6
146,1597534,1909,24.0,9.0,https://www.ndk.cz/view/uuid:c108ed14-435d-11dd-b505-00145e5790ea?page=uuid:300fcc82-4865-4967-8b9d-0e5ed2d4171d
